task_id,verdict,passing_round,passing_model,passing_k,passing_predicted,gold_corrected,gold_original,spec_rewrite_count,doctor_verdict,doctor_reasoning,difficulty_level,difficulty_confidence,difficulty_reasoning,difficulty_signal,empirical_easy,total_cost_usd,phase_b_cost_usd,doctor_cost_usd,probe_cost_usd,categorize_cost_usd,total_trials,prompt_tokens,completion_tokens,cached_tokens,run_id,ts_updated
0001/240/1240535.ipynb_qa_4,dropped,,,,,False,,0,unverifiable,doctor produced no tool call; treating as no-op finalize,0,0.0,,,,0.059793,0.023138,0.010921,0.025734,0.0,2,25643,1093,0,20260514T191830Z,2026-05-14T19:25:47.824962+00:00
0001/257/1257061.ipynb_qa_2,dropped,,,,,False,,0,unverifiable,doctor produced no tool call; treating as no-op finalize,0,0.0,,,,0.049571,0.0,0.024758,0.024813,0.0,2,0,0,0,20260514T191830Z,2026-05-14T19:23:23.449403+00:00
0001/261/1261978.ipynb_qa_5,verified,B,hf/Qwen/Qwen3-235B-A22B-Instruct-2507:nscale,1.0,330,False,,0,,,3,0.95,"The task requires grouping by chopstick length and computing mean efficiency, then identifying the length with the minimum mean, which involves a groupby and aggregation operation.",The use of groupby on 'Chopstick.Length' and applying .mean() followed by .idxmin() indicates a moderate-level data transformation.,,0.010476,0.00943,0.0,0.0,0.001046,1,10567,407,0,20260514T191830Z,2026-05-14T19:20:19.732521+00:00
0001/532/1532154.ipynb_qa_4,verified,B,hf/Qwen/Qwen3-235B-A22B-Instruct-2507:nscale,2.0,416,False,,0,,,1,1.0,"The task requires a simple count of rows where a binary column equals 1, with no transformations, grouping, or joins.",Single-line pandas operation counting boolean matches in one column,,0.009954,0.009058,0.0,0.0,0.000896,2,10399,308,0,20260514T191830Z,2026-05-14T19:20:22.920500+00:00
0001/534/1534628.ipynb_qa_5,dropped,,,,,False,,0,unverifiable,doctor produced no tool call; treating as no-op finalize,0,0.0,,,,0.04741,0.014112,0.021788,0.01151,0.0,2,16161,493,0,20260514T191830Z,2026-05-14T19:23:13.661028+00:00
0001/580/1580188.ipynb_qa_4,verified,B,hf/Qwen/Qwen3-235B-A22B-Instruct-2507:nscale,1.0,35,False,,0,,,2,0.95,"The task involves loading a CSV, converting a Unix timestamp to datetime, filtering by year, and counting rows, which is a straightforward single-file operation with a filter and aggregation.","The solution requires timestamp conversion and filtering but no joins, groupby, or complex transformations beyond basic datetime handling and counting.",,0.033393,0.032327,0.0,0.0,0.001066,1,38996,471,0,20260514T191830Z,2026-05-14T19:21:06.284058+00:00
0013/877/13877897.ipynb_qa_2,dropped,,,,,False,,0,unverifiable,doctor produced no tool call; treating as no-op finalize,0,0.0,,,,0.067567,0.008818,0.024474,0.034275,0.0,2,9867,385,0,20260514T191830Z,2026-05-14T19:28:23.358398+00:00
0019/416/19416448.ipynb_qa_2,dropped,,,,,True,0.142,1,gold_corrected,"The gold answer '0.142' is incorrect; the correct pseudo R-squared value is approximately 0.385, as confirmed by a probe with Qwen.",0,0.0,,,,0.287044,0.198719,0.057919,0.030406,0.0,4,230175,6075,0,20260514T191830Z,2026-05-14T19:35:04.504259+00:00
0020/891/20891948.ipynb_qa_4,dropped,,,,,False,,0,unverifiable,doctor produced no tool call; treating as no-op finalize,0,0.0,,,,0.072879,0.033472,0.018326,0.021081,0.0,2,34472,2456,0,20260514T191830Z,2026-05-14T19:27:37.725620+00:00
0024/275/24275657.ipynb_qa_5,dropped,,,,,False,,0,unverifiable,doctor produced no tool call; treating as no-op finalize,0,0.0,,,,0.033749,0.0,0.019379,0.01437,0.0,2,0,0,0,20260514T191830Z,2026-05-14T19:22:28.114586+00:00
