task_id,verdict,passing_round,passing_model,passing_k,passing_predicted,gold_corrected,gold_original,spec_rewrite_count,doctor_verdict,doctor_reasoning,difficulty_level,difficulty_confidence,difficulty_reasoning,difficulty_signal,empirical_easy,total_cost_usd,phase_b_cost_usd,doctor_cost_usd,probe_cost_usd,categorize_cost_usd,total_trials,prompt_tokens,completion_tokens,cached_tokens,run_id,ts_updated
0000/689/689967.ipynb_qa_1,verified,B,anthropic/claude-sonnet-4-6,1.0,"Satan's Host, formed in 1977",False,,0,,,2,0.9,"This task requires filtering a dataframe by genre (containing 'death metal') and finding the minimum formation year, which is a simple filter + aggregation in a few cells.","Single file, one filter condition on genre string, then idxmin() to find earliest year — straightforward filter+aggregation pattern.",,0.078354,0.072537,0.0,0.0,0.005817,1,19129,1010,0,20260514T191828Z,2026-05-14T19:19:24.404891+00:00
0001/240/1240535.ipynb_qa_4,dropped,,,,,False,,0,unverifiable,"The question asks for subjective interpretation of bias sources; the gold answer reflects a specific notebook author's idiosyncratic view (""dataset size"" and ""static computer price data"") that no reasonable data science agent would reproduce, and the LLM judge correctly rejects the agents' more technically sound answers as not matching the gold.",0,0.0,,,,0.269018,0.256671,0.012347,0.0,0.0,2,64147,4282,0,20260514T191828Z,2026-05-14T19:20:51.972805+00:00
0001/257/1257061.ipynb_qa_2,verified,B,anthropic/claude-sonnet-4-6,1.0,"sqft_living, 0.7020",False,,0,,,2,0.9,"Single-file operation: load data, compute correlations with one target column, find the max — a filter+aggregation pattern with no joins or complex transformations.","Two meaningful code cells: one to inspect, one to compute abs correlation and find idxmax.",,0.049388,0.044498,0.0,0.0,0.00489,1,11677,628,0,20260514T191828Z,2026-05-14T19:19:15.512166+00:00
0001/261/1261978.ipynb_qa_5,verified,B,anthropic/claude-sonnet-4-6,1.0,330,False,,0,,,2,0.95,Single groupby with mean aggregation on one file to find the minimum — a straightforward two-step operation.,groupby + mean + argmin in essentially one code cell,,0.043122,0.039009,0.0,0.0,0.004113,1,10548,491,0,20260514T191828Z,2026-05-14T19:19:21.436307+00:00
0001/532/1532154.ipynb_qa_4,verified,B,anthropic/claude-sonnet-4-6,1.0,416,False,,0,,,1,0.99,"Single column filter with a count aggregation on one file, trivially solved in one meaningful code cell.","The passing trajectory uses a single boolean sum on one column with no joins, groupby, or transformations.",,0.034224,0.030054,0.0,0.0,0.00417,1,7878,428,0,20260514T191828Z,2026-05-14T19:19:19.338608+00:00
0001/580/1580188.ipynb_qa_4,verifiable_judge,,,,(cross-model consensus),False,,0,verifiable_judge,"Nano probe confirmed the gold answer of 35 speeches in 1993; the Phase B failures had empty trajectories indicating agent execution issues, not a problem with the task spec or gold answer.",0,0.0,,,,0.068073,0.0,0.064958,0.003115,0.0,2,0,0,0,20260514T191828Z,2026-05-14T19:19:49.549535+00:00
0024/275/24275657.ipynb_qa_5,verified,B,anthropic/claude-sonnet-4-6,1.0,23.03%,False,,0,,,3,0.85,"Requires StandardScaler preprocessing, PCA fitting, and extracting explained variance ratio — a multi-step transformation using sklearn.",Two meaningful transformation steps (scaling + PCA) before extracting the answer.,,0.043821,0.039309,0.0,0.0,0.004512,1,10358,549,0,20260514T191828Z,2026-05-14T19:19:25.020088+00:00
0042/170/42170738.ipynb_qa_4,dropped,,,,,False,,0,unverifiable,"The question's ""percentage analysis"" is ambiguous — both nano and opus independently predict ""odor, spore-print-color, gill-color"" (standard feature importance), while the gold answer ""population, gill-attachment, stalk-root"" reflects some non-standard methodology that cannot be reliably reproduced, and the Phase B trials produced empty outputs (agent crashes/timeouts), making this task unverifiable.",0,0.0,,,,0.118583,0.0,0.029228,0.089355,0.0,2,0,0,0,20260514T191828Z,2026-05-14T19:20:27.260939+00:00
0042/642/42642764.ipynb_qa_2,verified,B,anthropic/claude-sonnet-4-6,1.0,2.415771850041258,False,,0,,,4,0.85,"The task requires training a machine learning model (linear regression), making predictions on a test set, and computing MAE — a basic ML pipeline with model training.",Model training with sklearn LinearRegression followed by MAE computation on test data.,,0.092829,0.086748,0.0,0.0,0.006081,1,23101,1163,0,20260514T191828Z,2026-05-14T19:19:34.976720+00:00
0043/996/43996428.ipynb_qa_5,verifiable_judge,,,,(cross-model consensus),False,,0,verifiable_judge,"Both trials had empty trajectories (agent never ran), and the nano probe independently confirmed the gold answer of 193 unique countries, so the task spec is correct and the failures were infrastructure-related.",0,0.0,,,,0.013723,0.0,0.010247,0.003476,0.0,2,0,0,0,20260514T191828Z,2026-05-14T19:19:46.244733+00:00
