task_id,verdict,passing_round,passing_model,passing_k,passing_predicted,gold_corrected,gold_original,spec_rewrite_count,doctor_verdict,doctor_reasoning,difficulty_level,difficulty_confidence,difficulty_reasoning,difficulty_signal,empirical_easy,total_cost_usd,phase_b_cost_usd,doctor_cost_usd,probe_cost_usd,categorize_cost_usd,total_trials,prompt_tokens,completion_tokens,cached_tokens,run_id,ts_updated
0000/689/689967.ipynb_qa_1,verified,B,anthropic/claude-sonnet-4-6,2.0,"Satan's Host, 1977",False,,0,,,2,0.9,"The task requires filtering a single CSV by genre (death metal) and finding the minimum formation year, which is a simple filter + aggregation in a few lines of code.","Single file, one filter condition (genre contains 'death metal'), then idxmin() aggregation — classic level 2 pattern.",,0.11562,0.110367,0.0,0.0,0.005253,2,29289,1500,0,20260514T185622Z,2026-05-14T18:58:07.222497+00:00
0001/240/1240535.ipynb_qa_4,dropped,,,,,False,,0,unverifiable,"The question asks for subjective ""sources of possible bias"" where the gold answer reflects a specific notebook author's opinion (dataset size and static price data), but all probed models give different valid answers (class imbalance, temporal bias, etc.) that the LLM judge rejects — making this question unverifiable as no model can reliably reproduce the original author's subjective framing.",0,0.0,,,,0.258156,0.23469,0.020357,0.003109,0.0,2,57165,4213,0,20260514T185622Z,2026-05-14T18:59:21.343387+00:00
0001/257/1257061.ipynb_qa_2,verified,B,anthropic/claude-sonnet-4-6,1.0,"sqft_living, 0.70",False,,0,,,2,0.9,"This requires loading a file, selecting numeric columns, computing correlations with a target column, and finding the max — a simple filter+aggregation pattern with minimal transformation.","Two meaningful code cells: one to inspect data, one to compute abs correlation and find the max feature.",,0.044283,0.039708,0.0,0.0,0.004575,1,10796,488,0,20260514T185622Z,2026-05-14T18:57:09.444145+00:00
0001/261/1261978.ipynb_qa_5,verified,B,anthropic/claude-sonnet-4-6,1.0,330,False,,0,,,2,0.95,"Single groupby aggregation (mean) on one file followed by finding the minimum, which is a simple filter+aggregate pattern.",groupby + mean + idxmin in a single code cell,,0.044733,0.040425,0.0,0.0,0.004308,1,10760,543,0,20260514T185622Z,2026-05-14T18:57:11.845390+00:00
0001/532/1532154.ipynb_qa_4,verified,B,anthropic/claude-sonnet-4-6,1.0,416,False,,0,,,1,0.98,"Single column filter with a count aggregation on one file, trivially solved in one meaningful code cell.","The passing trajectory uses a single (df['Dataset'] == 1).sum() operation with no joins, groupby, or transformations.",,0.033849,0.029574,0.0,0.0,0.004275,1,7848,402,0,20260514T185622Z,2026-05-14T18:57:16.149378+00:00
0001/534/1534628.ipynb_qa_5,dropped,,,,,False,,0,unverifiable,"The question asks about ""predicted ingredients"" which refers to a specific prediction model from the original notebook (1534628.ipynb) that is not provided to the agent; without knowing the exact prediction method, agents cannot reproduce the gold answer of 1 (nano returned ""Not Applicable"" and the Phase B agent got 2 using KNN).",0,0.0,,,,0.231274,0.198978,0.024502,0.007794,0.0,2,50856,3094,0,20260514T185622Z,2026-05-14T18:59:15.200975+00:00
0001/580/1580188.ipynb_qa_4,verified,B,anthropic/claude-sonnet-4-6,1.0,35,False,,0,,,2,0.85,"The task requires loading a CSV, converting a millisecond timestamp to datetime, extracting the year, filtering for 1993, and counting — a simple filter-then-aggregate with one transformation step.","Timestamp conversion adds one extra step beyond a trivial count, but it's still a single filter+aggregation with no joins or groupby complexity.",,0.078351,0.073194,0.0,0.0,0.005157,1,21068,666,0,20260514T185622Z,2026-05-14T18:57:25.304522+00:00
0013/877/13877897.ipynb_qa_2,dropped,,,,,False,,0,unverifiable,"The question asks for the highest validation accuracy from a VGGNet training run, but the dataset only contains raw X.npy and Y.npy files with no stored training history; reproducing the exact result (0.9218) requires running a specific VGGNet architecture with exact hyperparameters/seeds from the original notebook, making it non-deterministically reproducible.",0,0.0,,,,0.025316,0.0,0.021887,0.003429,0.0,2,0,0,0,20260514T185622Z,2026-05-14T19:17:56.812507+00:00
0019/416/19416448.ipynb_qa_2,verified_gold_corrected,B2,anthropic/claude-sonnet-4-6,1.0,0.386,True,0.142,1,gold_corrected,Both the failing agent (Sonnet) and a DeepSeek probe consistently compute pseudo R²=0.386 for the logit model with number of competitors (grouped by office/state/district) and campaign duration as predictors; the gold answer of 0.142 was incorrect.,4,0.85,"The task requires feature engineering (computing campaign duration, counting competitors per race), data cleaning, and fitting a logistic regression model to extract a pseudo R-squared statistic.","Multiple transformation steps (date arithmetic, groupby for competitor counts, merge) plus statsmodels logit fitting puts this firmly in the complex category.",,0.539724,0.444225,0.050473,0.038234,0.006792,3,121855,5244,0,20260514T185622Z,2026-05-14T19:04:54.524047+00:00
0020/891/20891948.ipynb_qa_4,dropped,,,,,False,,0,unverifiable,"The question is ambiguous because ""highest mortality rate"" depends entirely on the binning methodology chosen; all tested models (Sonnet trials and nano) find different age/year ranges (70-83/58-61 with 60% mortality) that contradict the gold answer (42-57/1962-1966), and no binning specification is given to make the answer deterministic.",0,0.0,,,,0.398236,0.361572,0.028302,0.008362,0.0,2,84839,7137,0,20260514T185622Z,2026-05-14T19:00:24.836704+00:00
0024/275/24275657.ipynb_qa_5,verified,B,anthropic/claude-sonnet-4-6,1.0,23.03%,False,,0,,,3,0.85,"Running PCA requires standardization, fitting a decomposition model, and extracting a specific component's variance ratio — a multi-step transformation beyond simple aggregation.","The trajectory shows StandardScaler + PCA pipeline with explained_variance_ratio_ extraction, which is a moderate multi-step analysis.",,0.049908,0.044799,0.0,0.0,0.005109,1,11333,720,0,20260514T185622Z,2026-05-14T18:57:17.981422+00:00
0027/004/27004450.ipynb_qa_2,verified_gold_corrected,B2,anthropic/claude-sonnet-4-6,1.0,Scandinavian Defense: Mieses-Kotroc Variation,True,Philiodor Defense #3,1,gold_corrected,"All models (Sonnet Phase B x2, nano) consistently find ""Scandinavian Defense: Mieses-Kotroc Variation"" (~63.3% white win rate) as the correct answer; the gold ""Philiodor Defense #3"" doesn't even appear in the top 10 most common openings.",3,0.9,"The task requires counting top-10 openings, filtering, then computing a win percentage per group — a classic filter → groupby → top-k pattern.",groupby with value_counts().head(10) followed by per-group win rate calculation is a moderate two-step transformation,,0.243915,0.196305,0.038822,0.003391,0.005397,3,52325,2622,0,20260514T185622Z,2026-05-14T18:59:18.483520+00:00
0042/170/42170738.ipynb_qa_4,dropped,,,,,False,,0,unverifiable,"The gold answer ""population, gill-attachment, stalk-root"" is contradicted by all model runs (both Sonnet trials and nano all find ""odor"" as the top predictor), and the question's ""percentage analysis"" is too ambiguous to determine a unique correct methodology, making this task unverifiable.",0,0.0,,,,0.208245,0.180606,0.023631,0.004008,0.0,2,47567,2527,0,20260514T185622Z,2026-05-14T18:58:55.644931+00:00
0042/642/42642764.ipynb_qa_2,verified,B,anthropic/claude-sonnet-4-6,2.0,2.415771850041258,False,,0,,,4,0.85,"The task requires training a machine learning model (linear regression), making predictions on a test set, and computing MAE — a basic ML pipeline with model training and evaluation.",Model training with sklearn LinearRegression followed by MAE computation on test data.,,0.083268,0.077289,0.0,0.0,0.005979,2,20158,1121,0,20260514T185622Z,2026-05-14T18:57:44.899845+00:00
0043/996/43996428.ipynb_qa_5,verified,B,anthropic/claude-sonnet-4-6,1.0,193,False,,0,,,2,0.85,"The task requires loading a CSV, performing basic data cleaning (drop duplicates, drop rows with missing Country), and counting unique values — a simple filter-then-aggregate operation in a few cells.","Only drop_duplicates and dropna operations before a simple nunique() call, no complex transformations or joins.",,0.077169,0.07182,0.0,0.0,0.005349,1,19945,799,0,20260514T185622Z,2026-05-14T18:57:22.240422+00:00
0044/873/44873237.ipynb_qa_3,verified,B,anthropic/claude-sonnet-4-6,1.0,95.70%,False,,0,,,4,0.8,"The task requires running an OLS regression model and extracting the R-squared statistic, which constitutes statistical inference/modeling beyond simple aggregation.",OLS regression with statsmodels to extract R-squared value,,0.045156,0.040704,0.0,0.0,0.004452,1,10588,596,0,20260514T185622Z,2026-05-14T18:57:15.968034+00:00
0049/683/49683426.ipynb_qa_4,dropped,,,,,False,,0,unverifiable,"The question asks about ""age groups"" without specifying a binning scheme; the gold answer ""81 - 115"" implies a specific non-standard binning from the original notebook, but agents using different reasonable binning schemes (10-year bins, quartile-based, etc.) all get different answers, making this question unverifiable without the exact original binning methodology.",0,0.0,,,,0.196367,0.17316,0.020103,0.003104,0.0,2,45270,2490,0,20260514T185622Z,2026-05-14T18:59:02.725319+00:00
0051/612/51612251.ipynb_qa_1,dropped,,,,,False,,0,unverifiable,"The question asks for RMSE after removing missing predictions but doesn't specify the prediction algorithm/model; different valid approaches (SVD variants, Surprise library, etc.) yield different RMSE values, and both probes returned empty, making it impossible to reliably reproduce the gold answer of 1.2028.",0,0.0,,,,0.221408,0.133854,0.052652,0.034902,0.0,2,31908,2542,0,20260514T185622Z,2026-05-14T19:02:28.743389+00:00
